run,t,M1_gcm_aoi_dist,M2_angle_std,M3_defender_angle,sigmaR,muOmega,thetaOmega,clustered,anyWithin5,allBeyond20,defenderBetween,chosenBC
0,183,16.445,0.056217,0.260882,1.02374,0,0,1,0,0,1,7
0,184,16.2,0.0594621,0.00168869,0.830408,0,0,1,0,0,1,1
0,185,15.8357,0.0665434,0.0336784,0.886359,0,0,1,0,0,1,10
0,186,15.7125,0.0801069,0.0363762,1.01547,0,0,1,0,0,1,8
0,187,15.6043,0.0750109,0.0233731,1.15798,0,0,1,0,0,1,8
0,188,15.6181,0.0637514,1.15827,1.02593,0,0,1,0,0,1,9
0,189,15.7409,0.057483,0.23635,0.927829,0,0,1,0,0,1,5
0,190,15.619,0.060741,0.291038,0.859323,0,0,1,0,0,1,8
0,191,15.4573,0.0696564,0.156788,0.926863,0,0,1,0,0,1,8
0,192,15.4628,0.0657063,0.153675,1.1923,0,0,1,0,0,1,2
0,193,15.4117,0.0541851,0.143553,1.33816,0,0,1,0,0,1,2
0,194,15.2117,0.0547924,0.129813,1.13818,0,0,1,0,0,1,8
0,195,15.3304,0.071679,0.0244445,1.05798,0,0,1,0,0,1,6
0,196,15.4804,0.0780686,0.000651612,0.829055,0,0,1,0,0,1,8
0,197,15.6458,0.0704339,0.207354,0.994403,0,0,1,0,0,1,8
0,198,15.8509,0.0581792,0.011791,1.18906,0,0,1,0,0,1,1
0,199,15.8211,0.0649315,0.0917524,0.845298,0,0,1,0,0,1,7
0,200,15.8053,0.0809722,0.0109469,0.821914,0,0,1,0,0,1,7
1,1,36.9435,0.163103,0.435272,3.29584,42.675,0.186163,0,0,1,1,10
1,2,36.7675,0.141793,0.402718,2.98797,0,0,1,0,1,1,8
1,3,36.5638,0.118963,0.400371,2.6614,0,0,1,0,1,1,1
1,4,36.3629,0.0958333,0.397781,2.32439,0,0,1,0,1,1,1
1,5,36.1678,0.0731909,0.395463,1.98179,0,0,1,0,1,1,1
1,6,35.9747,0.0519777,0.393088,1.61824,0,0,1,0,1,1,1
1,7,35.7258,0.0338154,0.388605,1.22281,0,0,1,0,1,1,1
1,8,35.6182,0.0217363,0.0126526,0.843921,0,0,1,0,1,1,4
1,9,35.212,0.0263527,0.00212579,0.655668,0,0,1,0,1,1,2
1,10,34.7537,0.0315932,0.00281696,0.845978,0,0,1,0,1,1,2
1,11,34.1243,0.02841,0.000669366,1.03847,0,0,1,0,1,1,1
1,12,33.3853,0.0236698,0.00117279,1.05283,0,0,1,0,1,1,2
1,13,32.5616,0.0309064,0.000403947,0.925336,0,0,1,0,1,1,5
1,14,31.9686,0.0312553,0.00338494,0.712795,0,0,1,0,1,1,5
1,15,31.3006,0.0336421,0.0116498,0.825583,0,0,1,0,1,1,5
1,16,30.5405,0.0345352,0.0206923,0.874021,0,0,1,0,1,1,5
1,17,29.65,0.0298226,0.0245554,0.823097,0,0,1,0,1,1,2
1,18,28.7212,0.02823,0.0293391,0.798652,0,0,1,0,1,1,2
1,19,27.7928,0.0279038,0.0309113,0.747476,0,0,1,0,1,1,1
1,20,26.8573,0.0326641,1.67795,0.754383,0,0,1,0,1,0,9
1,21,25.942,0.0355269,0.283676,0.746726,0,0,1,0,1,1,8
1,22,25.0155,0.0351356,0.279127,0.707894,0,0,1,0,1,1,5
1,23,24.1056,0.0313383,0.281541,0.658552,0,0,1,0,1,1,1
1,24,23.1777,0.0362574,0.282104,0.698,0,0,1,0,1,1,1
1,25,22.2743,0.0431416,0.285272,0.665679,0,0,1,0,1,1,5
1,26,21.3304,0.0415902,0.288389,0.681758,0,0,1,0,0,1,1
1,27,20.3789,0.0400879,0.413308,0.680874,0,0,1,0,0,1,7
1,28,19.4171,0.0432035,0.0806895,0.685173,0,0,1,0,0,1,1
1,29,18.472,0.0479123,0.0179612,0.720683,0,0,1,0,0,1,1
1,30,17.5247,0.0503124,0.00740121,0.750152,0,0,1,0,0,1,8
1,31,16.6131,0.0465631,0.0669583,0.77654,0,0,1,0,0,1,10
1,32,15.7252,0.0475258,0.00780011,0.805255,0,0,1,0,0,1,1
1,33,14.9205,0.0619952,0.00243501,0.832302,0,0,1,0,0,1,6
1,34,14.2282,0.0835358,0.139818,0.804789,0,0,1,0,0,1,9
1,35,13.7499,0.0748227,0.581939,0.816624,0,0,1,0,0,1,7
1,36,13.5736,0.0506919,1.07143,1.07987,0,0,1,0,0,1,1
